Hostname,User,Type
cybercraft,ainu-musical,Made-up word
raspberrypi,alpaca-diatonic,Default name
gimli,anteater-justice,Made-up word
victors-pop-os,armadillo-major,OS+User
marvin,axolotl-goblin,Human-like name
atsrv1,axolotl-turtle,Random characters
nyx,badger-cloud,Made-up word
steves-macbook-pro,badger-tuna,Default name
taylors-macbook-pro-2,badger-tuna,Default name
oplx-mx,bear-cloud,Intended usage
aleepc,bear-crocodile,Made-up word
bfg9000,bear-jazz,Fictional thing
pi-hole,bear-jazz,Software running
lxc1hu,bear-minor,Software running
caddy,beluga-salmon,Software running
tpad,beluga-tet,Hardware
nutsups,bishop-cloud,Made-up word
piaware,bishop-cloud,Software running
checkmk,bishop-cloud,Software running
osmc,bobcat-ordinal,Software running
tirith,boston-kelvin,Fictional thing
darwin,boston-turtle,Software running
kulryz01,camel-boa,Made-up word
map,capybara-harmonic,Intended usage
baf,capybara-harmonic,Made-up word
macmini,caracara-gray,Hardware
storage,cat-cloud,Intended usage
alvaro-desktop,cat-gopher,Hardware+Name
newscred,cat-in,Made-up word
newscred-mbp,cat-in,Hardware+Name
omega,cat-in,Non-descriptive word
diary,cat-liberty,Intended usage
goblogtest,cat-liberty,Intended usage
elite,cat-liberty,Non-descriptive word
raspi,cat-liberty,Hardware
wyverary,cat-perch,Fictional thing
september,cat-perch,Non-descriptive word
rocinante,cat-perch,Fictional thing
dock,cat-snapper,Intended usage
raspkob,centaur-chuckwalla,Made-up word
hetzner-0,centaur-gopher,Hosting provider
edge,chihuahua-chromatic,Intended usage
dentons-air,chihuahua-tyrannosaurus,Default name
desktop-v9i5d34-1,chihuahua-tyrannosaurus,Default name
raspberrypi,chimp-interval,Default name
server,chimp-liberty,Intended usage
raspberrypi-4,coin-cod,Default name
vultr,coin-cod,Hosting provider
vultr-1,coin-cod,Hosting provider
rokuga,coin-cod,Japanese word
little-totoro,coin-lionfish,Fictional thing
monadnock,coin-micro,Non-descriptive word
dev,coin-tone,Intended usage
phryne,coin-tone,Non-descriptive word
cstest,corgi-gopher,Intended usage
devbox,corgi-symmetric,Intended usage
builds,corp,Intended usage
pain,corp,Non-descriptive word
paintest,corp,Non-descriptive word
tshello,corp,Software running
test-builder,corp,Intended usage
tsdev,corp,Intended usage
changelog,corp,Intended usage
bronzong,corp,Pokemon
bradfitz,corp,Human-like name
dilla,cow-carp,Made-up word
nucopenwrt,cow-in,Software running
delugebox,cow-micro,Software running
hetzner01,cow-micro,Hosting provider
plexguide3,cow-micro,Software running
contabo,cow-owl,Hosting provider
orb,deer-bebop,Non-descriptive word
pariah,dhole-tet,Non-descriptive word
coruscant,dingo-acoustic,Non-descriptive word
chris-mac,dingo-lizard,Hardware+Name
whatbox,dingo-lizard,Hosting provider
oynx,dingo-mamba,Non-descriptive word
lachupa-cabra,dingo-minor,Random words
